[2025-07-22 18:21:20] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-22 18:21:22] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-22 19:22:57] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 02:46:36] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 02:46:41] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 03:07:05] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 03:07:06] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 06:32:40] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 06:32:44] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 06:48:02] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 06:48:04] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 06:49:42] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 06:49:44] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:06:14] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:06:16] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:09:11] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:09:13] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:12:42] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:12:44] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:18:40] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:18:51] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:21:12] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:21:13] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 07:53:07] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 07:53:08] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 08:03:08] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 08:03:35] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 09:29:36] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 09:29:58] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 09:30:31] [ERROR] Error in Start-DockerProduction - Exception: Failed to start Docker containers (exit code: 1) - StackTrace: at Start-DockerProduction, D:\dev\casestrainer\cslaunch.ps1: line 1376
at Show-Menu, D:\dev\casestrainer\cslaunch.ps1: line 1769
at <ScriptBlock>, D:\dev\casestrainer\cslaunch.ps1: line 2250
at <ScriptBlock>, <No file>: line 1
[2025-07-23 09:32:30] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 09:32:52] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 09:56:52] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 09:57:17] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 10:11:59] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 10:12:21] [INFO] Start-DockerProduction called with ForceRebuild: True, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:15:51] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:16:12] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:37:24] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:37:49] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:44:08] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:44:27] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:50:07] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:50:28] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:53:32] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:53:54] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 14:58:08] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 14:58:29] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
[2025-07-23 15:16:54] [INFO] Script started with Mode: Menu, QuickStart: False, SkipVue: False, MenuOption: 0
[2025-07-23 15:17:15] [INFO] Start-DockerProduction called with ForceRebuild: False, NoValidation: False, QuickStart: False, SkipVueBuild: False
